Kategorie;Produkt;Variante;Status;Apple aktuell €;17 % €;27 % €;Rabattregel;Früher 29.08.2026 €;Änderung Apple €;Hinweis
ipad;iPad Air;"11"" · 512 GB · Wi-Fi + Cellular";Jetzt kaufen;1349.00;1120.98;986.51;Apple/Beats 17 % / versteckt 27 %;1349.00;0.00;
ipad;iPad Air;"11"" · 1 TB · Wi-Fi + Cellular";Jetzt kaufen;1729.00;1436.33;1264.97;Apple/Beats 17 % / versteckt 27 %;1729.00;0.00;
ipad;iPad Air;"13"" · 128 GB · Wi-Fi";Jetzt kaufen;999.00;830.62;731.85;Apple/Beats 17 % / versteckt 27 %;999.00;0.00;
ipad;iPad Air;"13"" · 256 GB · Wi-Fi";Jetzt kaufen;1129.00;938.91;825.86;Apple/Beats 17 % / versteckt 27 %;1129.00;0.00;
ipad;iPad Air;"13"" · 512 GB · Wi-Fi";Jetzt kaufen;1379.00;1145.97;1009.12;Apple/Beats 17 % / versteckt 27 %;1379.00;0.00;
ipad;iPad Air;"13"" · 1 TB · Wi-Fi";Jetzt kaufen;1759.00;1461.32;1286.39;Apple/Beats 17 % / versteckt 27 %;1759.00;0.00;
ipad;iPad Air;"13"" · 128 GB · Wi-Fi + Cellular";Jetzt kaufen;1169.00;972.23;855.61;Apple/Beats 17 % / versteckt 27 %;1169.00;0.00;
ipad;iPad Air;"13"" · 256 GB · Wi-Fi + Cellular";Jetzt kaufen;1299.00;1079.33;950.81;Apple/Beats 17 % / versteckt 27 %;1299.00;0.00;
ipad;iPad Air;"13"" · 512 GB · Wi-Fi + Cellular";Jetzt kaufen;1549.00;1287.58;1132.88;Apple/Beats 17 % / versteckt 27 %;1549.00;0.00;
ipad;iPad Air;"13"" · 1 TB · Wi-Fi + Cellular";Jetzt kaufen;1929.00;1602.93;1410.15;Apple/Beats 17 % / versteckt 27 %;1929.00;0.00;
ipad;iPad;128 GB · Wi-Fi;Jetzt kaufen;499.00;415.31;366.52;Apple/Beats 17 % / versteckt 27 %;499.00;0.00;
ipad;iPad;256 GB · Wi-Fi;Jetzt kaufen;629.00;523.60;461.72;Apple/Beats 17 % / versteckt 27 %;629.00;0.00;
ipad;iPad;512 GB · Wi-Fi;Jetzt kaufen;879.00;730.66;643.79;Apple/Beats 17 % / versteckt 27 %;879.00;0.00;
ipad;iPad;128 GB · Wi-Fi + Cellular;Jetzt kaufen;669.00;556.92;490.28;Apple/Beats 17 % / versteckt 27 %;669.00;0.00;
ipad;iPad;256 GB · Wi-Fi + Cellular;Jetzt kaufen;799.00;664.02;585.48;Apple/Beats 17 % / versteckt 27 %;799.00;0.00;
ipad;iPad;512 GB · Wi-Fi + Cellular;Jetzt kaufen;1049.00;872.27;767.55;Apple/Beats 17 % / versteckt 27 %;1049.00;0.00;
ipad;iPad mini;128 GB · Wi-Fi;Jetzt kaufen;679.00;565.25;497.42;Apple/Beats 17 % / versteckt 27 %;679.00;0.00;
ipad;iPad mini;256 GB · Wi-Fi;Jetzt kaufen;809.00;672.35;592.62;Apple/Beats 17 % / versteckt 27 %;809.00;0.00;
ipad;iPad mini;512 GB · Wi-Fi;Jetzt kaufen;1059.00;880.60;775.88;Apple/Beats 17 % / versteckt 27 %;1059.00;0.00;
ipad;iPad mini;128 GB · Wi-Fi + Cellular;Jetzt kaufen;849.00;705.67;622.37;Apple/Beats 17 % / versteckt 27 %;849.00;0.00;
ipad;iPad mini;256 GB · Wi-Fi + Cellular;Jetzt kaufen;979.00;813.96;716.38;Apple/Beats 17 % / versteckt 27 %;979.00;0.00;
ipad;iPad mini;512 GB · Wi-Fi + Cellular;Jetzt kaufen;1229.00;1021.02;899.64;Apple/Beats 17 % / versteckt 27 %;1229.00;0.00;
mac;MacBook Neo;Basismodell · 256 GB;Jetzt kaufen;799.00;665.86;586.13;Apple/Beats 17 % / versteckt 27 %;799.00;0.00;
mac;MacBook Air;Basismodell;Jetzt kaufen;1399.00;1163.28;1025.24;Apple/Beats 17 % / versteckt 27 %;1399.00;0.00;
mac;MacBook Pro;Basismodell;Jetzt kaufen;2199.00;1827.30;1608.34;Apple/Beats 17 % / versteckt 27 %;2199.00;0.00;
mac;iMac;Basismodell;Jetzt kaufen;1799.00;1495.29;1316.79;Apple/Beats 17 % / versteckt 27 %;1799.00;0.00;
mac;Mac mini;M6 Basismodell;Vorbestellung;1049.00;872.92;769.39;Apple/Beats 17 % / versteckt 27 %;1049.00;0.00;
mac;Mac mini;M5 Pro Basismodell;Vorbestellung;1999.00;1661.89;1463.16;Apple/Beats 17 % / versteckt 27 %;1999.00;0.00;
mac;Mac Studio;M5 Max Basismodell;Vorbestellung;2999.00;2491.32;2192.63;Apple/Beats 17 % / versteckt 27 %;2999.00;0.00;
mac;Mac Studio;M5 Ultra Basismodell;Vorbestellung;6599.00;5479.41;4820.15;Apple/Beats 17 % / versteckt 27 %;6599.00;0.00;
displays;Studio Display;Standardglas · Neigungsverstellbarer Standfuß;Jetzt kaufen;1699.00;1410.15;1239.98;Apple/Beats 17 % / versteckt 27 %;1699.00;0.00;
displays;Studio Display;Standardglas · VESA Mount Adapter;Jetzt kaufen;1699.00;1410.15;1239.98;Apple/Beats 17 % / versteckt 27 %;1699.00;0.00;
displays;Studio Display;Standardglas · Neigungs- und höhenverstellbarer Standfuß;Jetzt kaufen;2099.00;1742.16;1532.72;Apple/Beats 17 % / versteckt 27 %;2099.00;0.00;
